,city,wind speed,lat
396,tezu,0.87,27.93
397,amberley,11.41,-43.15
398,rundu,6.69,-17.91
399,takoradi,7.58,4.89
400,loksa,11.41,59.58
401,souillac,3.36,45.6
402,lokachi,7.81,50.74
403,wajid,9.82,3.81
404,puerto colombia,11.41,10.99
405,college,11.41,64.86
406,fuzhou,17.9,26.08
407,itarantim,3.78,-15.65
408,favara,5.35,37.32
409,laramie,8.05,41.31
410,harper,8.93,30.3
411,sfantu gheorghe,6.93,44.65
412,ambilobe,13.06,-13.19
413,nador,10.29,35.17
414,srednekolymsk,3.44,67.46
415,kieta,16.2,-6.22
416,carupano,8.25,10.67
417,kudahuvadhoo,11.95,2.67
418,sao filipe,8.03,14.9
419,moroni,2.44,39.52
420,nanortalik,19.33,60.14
421,mattawa,6.93,46.32
422,vari,38.03,37.83
423,katesh,9.15,-4.52
424,burnie,9.26,-41.05
425,luorong,3.78,24.41
426,kungurtug,8.25,50.6
427,bria,2.89,6.54
428,psebay,1.43,44.12
429,kutum,5.79,14.2
430,port hardy,8.05,50.7
431,skibbereen,10.29,51.55
432,anadyr,6.71,64.73
433,igra,12.73,57.55
434,ulaanbaatar,2.24,47.92
435,ojinaga,2.66,29.56
436,canon city,3.22,39.46
437,norman wells,14.99,65.28
438,havoysund,20.8,71.0
439,iskateley,3.49,67.68
440,ternate,6.93,14.29
441,tumarbong,11.05,10.38
442,hambantota,10.6,6.12
443,valer,5.23,41.76
444,vaitape,11.83,-16.52
445,rio branco,4.7,-9.98
446,esso,2.89,55.93
447,hokitika,19.55,-42.72
448,grand-santi,2.21,4.27
449,teguise,1.12,29.06
450,khasan,4.0,42.43
451,sorong,9.82,-0.86
452,itarare,6.24,-24.11
453,huadian,3.56,42.97
454,bafata,3.0,12.17
455,marrakesh,2.24,31.63
456,la libertad,4.7,-16.38
457,sainte-marie,8.05,46.45
458,sobolevo,10.04,54.43
459,pilar,5.82,-34.46
460,estelle,3.36,32.87
461,strezhevoy,2.24,60.73
462,vestmanna,19.46,62.16
463,alta floresta,0.87,-9.87
464,matara,1.43,-13.74
465,vavozh,6.46,56.77
466,karratha,11.39,-20.74
467,ashtabula,10.29,41.87
468,aksu,2.24,52.04
469,hobyo,15.52,5.35
470,passo fundo,11.05,-28.26
471,pitimbu,5.82,-7.47
472,ulaangom,5.12,49.98
473,kulhudhuffushi,12.84,6.62
474,muros,9.17,42.77
475,meulaboh,3.22,4.14
476,puerto del rosario,6.93,28.5
477,banda aceh,1.99,5.56
478,brest,8.03,52.09
479,port hawkesbury,6.93,45.62
480,batagay-alyta,5.35,67.8
481,lewistown,16.11,40.39
482,frontera,10.29,18.53
483,villamontes,2.66,-21.26
484,isilkul,4.0,54.9
485,falam,1.66,22.91
486,kaeo,16.87,-35.1
487,duldurga,4.12,50.67
488,cabedelo,5.82,-6.97
489,inuvik,4.7,68.36
490,loandjili,7.02,-4.77
491,dungarpur,4.45,23.85
492,quatis,1.99,-22.41
493,waingapu,7.81,-9.65
494,mutuipe,5.01,-13.23
495,buchanan,6.02,5.88
496,necochea,5.01,-38.55
497,kyren,2.66,51.68
498,escondido,4.7,33.12
499,sumter,4.23,33.92
500,praya,8.05,-8.71
501,kruisfontein,12.62,-34.0
502,baghdad,1.12,33.3
503,murdochville,13.18,48.96
504,berezovyy,3.44,51.67
505,tessalit,3.33,20.2
506,pingliang,4.45,35.54
507,mecca,2.55,21.43
508,fare,11.39,-16.7
509,takayama,5.82,36.14
510,hanting,13.06,30.92
511,gemena,2.1,3.25
512,itororo,2.89,-15.12
513,obo,3.0,5.39
514,tual,14.52,-5.67
515,matamoros,10.29,25.87
516,fairbanks,11.41,64.84
517,tubbergen,4.7,52.41
518,spas-demensk,8.25,54.41
519,caxito,9.82,-22.65
520,bukama,2.66,-9.2
521,pathein,4.12,16.78
522,belyy yar,11.18,53.6
523,superior,7.7,39.95
524,morant bay,11.41,17.88
525,santa rosa,6.8,-36.62
526,boa vista,6.93,2.82
527,faanui,12.28,-16.48
528,saint-francois,3.33,46.42
529,rovaniemi,11.41,66.5
530,santa lucia,5.68,39.93
531,emilio carranza,5.79,19.97
532,araxa,7.92,-19.59
533,miles city,6.93,46.41
534,darhan,3.56,49.49
535,koumac,8.14,-20.56
536,sangar,3.89,63.92
537,dicabisagan,7.02,17.08
538,kyshtovka,6.13,56.56
539,megion,2.24,61.04
540,rosignano marittimo,14.99,43.41
